Plant Code,Plant Name,Warehouse Code,Warehouse,Mode,Link Type,Route Type,PMT,Distance
KRI,Krishnapatnam,NELLO,Nellore,Rail,Primary,Plane,725.0531928,26.3
KRI,Krishnapatnam,GUDUR,Gudur,Rail,Primary,Plane,1499.987469,44
KRI,Krishnapatnam,NAYUD,Nayudupeta,Rail,Primary,Plane,917.0367432,70
KRI,Krishnapatnam,KAVAL,Kavali,Rail,Primary,Plane,1104.571706,82
KRI,Krishnapatnam,SULLU,Sullurpeta,Rail,Primary,Plane,1460.191629,97
KRI,Krishnapatnam,VINJA,Vinjamur,Rail,Primary,Plane,1373.270488,103
KRI,Krishnapatnam,TIRUP,Tirupati,Rail,Primary,Plane,1269.770454,133
KRI,Krishnapatnam,RAJAM,Rajampet,Rail,Primary,Plane,1641.028649,135
KRI,Krishnapatnam,KANDU,Kandukur,Rail,Primary,Plane,1584.189948,136
KRI,Krishnapatnam,ONGOL,Ongole,Rail,Primary,Plane,1349.294121,154
KRI,Krishnapatnam,NAGAR,Nagari,Rail,Primary,Plane,1589.348187,162
KRI,Krishnapatnam,CHENN,Chennai,Rail,Primary,Plane,719.881071,177
KRI,Krishnapatnam,CUDDA,Cuddapah,Rail,Primary,Plane,795.91681,183
KRI,Krishnapatnam,KADAP,Kadapa,Rail,Primary,Plane,783.6634513,183
KRI,Krishnapatnam,KANIG,Kanigiri,Rail,Primary,Plane,1834.146115,184
KRI,Krishnapatnam,RAYAC,Rayachoti,Rail,Primary,Plane,1740.493439,190
KRI,Krishnapatnam,ADDAN,Addanki,Rail,Primary,Plane,1466.995424,193
KRI,Krishnapatnam,CHITT,Chittoor,Rail,Primary,Plane,1236.228012,202
KRI,Krishnapatnam,PRODD,Proddatur,Rail,Primary,Plane,1587.996443,206
KRI,Krishnapatnam,CHIRA,Chirala,Rail,Primary,Plane,1910.334124,214
KRI,Krishnapatnam,DARSI,Darsi,Rail,Primary,Plane,2087.544693,226
KRI,Krishnapatnam,CHILA,Chilakaluripet,Rail,Primary,Plane,1101.149395,227
KRI,Krishnapatnam,GIDDA,Giddaluru,Rail,Primary,Plane,1282.684546,227
KRI,Krishnapatnam,PALAM,Palamaner,Rail,Primary,Plane,1473.269969,245
KRI,Krishnapatnam,MADAN,Madanapalle,Rail,Primary,Plane,1475.685901,249
KRI,Krishnapatnam,PUNGA,Punganur,Rail,Primary,Plane,1750.959779,250
KRI,Krishnapatnam,KADIR,Kadiri,Rail,Primary,Plane,1952.147407,264
KRI,Krishnapatnam,KOILK,Koilkuntla,Rail,Primary,Plane,1530.003,264
KRI,Krishnapatnam,GUNTU,Guntur,Rail,Primary,Plane,1039.052435,268
KRI,Krishnapatnam,SATTE,Sattenapalle,Rail,Primary,Plane,949.1851248,269
KRI,Krishnapatnam,TENAL,Tenali,Rail,Primary,Plane,1063.230247,291
KRI,Krishnapatnam,YADIK,Yadiki,Rail,Primary,Plane,973.917792,300
KRI,Krishnapatnam,VIJAY,Vijayawada,Rail,Primary,Plane,866.4972017,305
KRI,Krishnapatnam,DHONE,Dhone,Rail,Primary,Plane,2218.300439,331
KRI,Krishnapatnam,PONDI,Pondicherry,Rail,Primary,Plane,1167.761527,334
KRI,Krishnapatnam,ANANT,Anantapur,Rail,Primary,Plane,2017.723515,339
KRI,Krishnapatnam,GUDIV,Gudivada,Rail,Primary,Plane,1322.004439,345
KRI,Krishnapatnam,KURNO,Kurnool,Rail,Primary,Plane,1749.3961,351
KRI,Krishnapatnam,PENUK,Penukonda,Rail,Primary,Plane,2172.818179,353
KRI,Krishnapatnam,GUNTA,Guntakal,Rail,Primary,Plane,1739.706653,359
KRI,Krishnapatnam,TIRUV,Tiruvannamalai,Rail,Primary,Plane,1172.640227,359
KRI,Krishnapatnam,PATTI,Pattikonda,Rail,Primary,Plane,2439.224223,365
KRI,Krishnapatnam,HINDU,Hindupur,Rail,Primary,Plane,2275.172099,377
KRI,Krishnapatnam,BANGA,Bangalore,Rail,Primary,Plane,1183.081172,383
KRI,Krishnapatnam,BENGA,Bengaluru,Rail,Primary,Plane,1263.007732,383
KRI,Krishnapatnam,KALLU,Kallur,Rail,Primary,Plane,1199.979691,400
KRI,Krishnapatnam,ADONI,Adoni,Rail,Primary,Plane,2260.696439,403
KRI,Krishnapatnam,TADEP,Tadepalligudem,Rail,Primary,Plane,1350.003175,414
KRI,Krishnapatnam,MANTR,Mantralayam,Rail,Primary,Plane,1416.665331,433
KRI,Krishnapatnam,RAYAD,Rayadurg,Rail,Primary,Plane,2417.030915,452
KRI,Krishnapatnam,HYDER,Hyderabad,Rail,Primary,Plane,1509.354576,480
KRI,Krishnapatnam,TRICH,Trichy,Rail,Primary,Plane,1403.015841,497
KRI,Krishnapatnam,KAKIN,Kakinada,Rail,Primary,Plane,1318.004317,523
KRI,Krishnapatnam,TELAN,Telangana,Rail,Primary,Plane,1539.227666,539
KRI,Krishnapatnam,MYSOR,Mysore,Rail,Primary,Plane,1476.853343,544
KRI,Krishnapatnam,SRUNG,Srungavaram,Rail,Primary,Plane,1688.00293,544
KRI,Krishnapatnam,COIMB,Coimbatore,Rail,Primary,Plane,1606.771123,614
KRI,Krishnapatnam,ANAKA,Anakapalle,Rail,Primary,Plane,1705.131497,627
KRI,Krishnapatnam,MADUR,Madurai,Rail,Primary,Plane,1700.013622,627
KRI,Krishnapatnam,VISAK,Visakhapatnam,Rail,Primary,Plane,1436.888184,651
KRI,Krishnapatnam,VISHA,Vishakapatnam,Rail,Primary,Plane,1555.219211,651
KRI,Krishnapatnam,GULBA,Gulbarga,Rail,Primary,Plane,1485.908863,686
KRI,Krishnapatnam,SRUNG,Srungavarapukota,Rail,Primary,Plane,1937.986481,687
KRI,Krishnapatnam,VIZIA,Vizianagaram,Rail,Primary,Plane,1688.244615,699
KRI,Krishnapatnam,MANGA,Mangalore,Rail,Primary,Plane,2111.218592,732
KRI,Krishnapatnam,SRIKA,Srikakulam,Rail,Primary,Plane,1707.044348,756
KRI,Krishnapatnam,HUBLI,Hubli,Rail,Primary,Plane,1745.752471,766
KRI,Krishnapatnam,HUBLI,Hubli-Dharwad,Rail,Primary,Plane,1668.520293,766
KRI,Krishnapatnam,NARAS,Narasannapeta,Rail,Primary,Plane,1616.133666,780
KRI,Krishnapatnam,JEYPO,Jeypore,Rail,Primary,Plane,2258.540489,781
KRI,Krishnapatnam,JEYPU,Jeypur,Rail,Primary,Plane,2426.62846,781
KRI,Krishnapatnam,PARVA,Parvathipuram,Rail,Primary,Plane,1656.001887,785
KRI,Krishnapatnam,CALIC,Calicut,Rail,Primary,Plane,2431.670161,788
